Company,Year,Total QTY EMP
Microsoft,2022,221000
Microsoft,2021,181000
Microsoft,2020,163000
Microsoft,2019,144000
Microsoft,2018,131000
Microsoft,2017,124000
Microsoft,2016,114000
Microsoft,2015,118000
Microsoft,2014,128000
Microsoft,2013,99000
Apple,2022,164000
Apple,2021,154000
Apple,2020,147000
Apple,2019,137000
Apple,2018,132000
Apple,2017,123000
Apple,2016,116000
Apple,2015,110000
Apple,2014,97000
Apple,2013,84400
IBM,2022,311300
IBM,2021,307600
IBM,2020,375300
IBM,2018,381100
IBM,2017,397800
IBM,2016,414400
IBM,2015,411798
IBM,2014,412775
IBM,2013,463785
