Company,Dividend Date,Dividend
Apple,"Feb 10, 2023",0.23
Apple,"Nov 4, 2022",0.23
Apple,"Aug 5, 2022",0.23
Apple,"May 6, 2022",0.23
Apple,"Feb 4, 2022",0.22
Apple,"Nov 5, 2021",0.22
Apple,"Aug 6, 2021",0.22
Apple,"May 7, 2021",0.22
Apple,"Feb 5, 2021",0.205
Apple,"Nov 6, 2020",0.205
Apple,"Aug 7, 2020",0.205
Apple,"May 8, 2020",0.205
Apple,"Feb 7, 2020",0.1925
Apple,"Nov 7, 2019",0.1925
Apple,"Aug 9, 2019",0.1925
Apple,"May 10, 2019",0.1925
Apple,"Feb 8, 2019",0.1825
Apple,"Nov 8, 2018",0.1825
Apple,"Aug 10, 2018",0.1825
Apple,"May 11, 2018",0.1825
Apple,"Feb 9, 2018",0.1575
Apple,"Nov 10, 2017",0.1575
Apple,"Aug 10, 2017",0.1575
Apple,"May 11, 2017",0.1575
Apple,"Feb 9, 2017",0.1425
Apple,"Nov 3, 2016",0.1425
Apple,"Aug 4, 2016",0.1425
Apple,"May 5, 2016",0.1425
Apple,"Feb 4, 2016",0.13
Apple,"Nov 5, 2015",0.13
Apple,"Aug 6, 2015",0.13
Apple,"May 7, 2015",0.13
Apple,"Feb 5, 2015",0.1175
Apple,"Nov 6, 2014",0.1175
Apple,"Aug 7, 2014",0.1175
Apple,"May 8, 2014",0.1175
Apple,"Feb 6, 2014",0.1089
Apple,"Nov 6, 2013",0.1089
Apple,"Aug 8, 2013",0.1089
IBM,"Feb 9, 2023",1.65
IBM,"Nov 9, 2022",1.65
IBM,"Aug 9, 2022",1.65
IBM,"May 9, 2022",1.65
IBM,"Feb 10, 2022",1.64
IBM,"Nov 9, 2021",1.64
IBM,"Aug 9, 2021",1.64
IBM,"May 7, 2021",1.64
IBM,"Feb 9, 2021",1.63
IBM,"Nov 9, 2020",1.63
IBM,"Aug 7, 2020",1.63
IBM,"May 7, 2020",1.63
IBM,"Feb 7, 2020",1.62
IBM,"Nov 7, 2019",1.62
IBM,"Aug 8, 2019",1.62
IBM,"May 9, 2019",1.62
IBM,"Feb 7, 2019",1.57
IBM,"Nov 8, 2018",1.57
IBM,"Aug 9, 2018",1.57
IBM,"May 9, 2018",1.57
IBM,"Feb 8, 2018",1.5
IBM,"Nov 9, 2017",1.5
IBM,"Aug 8, 2017",1.5
IBM,"May 8, 2017",1.5
IBM,"Feb 8, 2017",1.4
IBM,"Nov 8, 2016",1.4
IBM,"Aug 8, 2016",1.4
IBM,"May 6, 2016",1.4
IBM,"Feb 8, 2016",1.3
IBM,"Nov 6, 2015",1.3
IBM,"Aug 6, 2015",1.3
IBM,"May 6, 2015",1.3
IBM,"Feb 6, 2015",1.1
IBM,"Nov 6, 2014",1.1
IBM,"Aug 6, 2014",1.1
IBM,"May 7, 2014",1.1
IBM,"Feb 6, 2014",0.95
IBM,"Nov 6, 2013",0.95
IBM,"Aug 7, 2013",0.95
Microsoft,"Feb 15, 2023",0.68
Microsoft,"Nov 16, 2022",0.68
Microsoft,"Aug 17, 2022",0.62
Microsoft,"May 18, 2022",0.62
Microsoft,"Feb 16, 2022",0.62
Microsoft,"Nov 17, 2021",0.62
Microsoft,"Aug 18, 2021",0.56
Microsoft,"May 19, 2021",0.56
Microsoft,"Feb 17, 2021",0.56
Microsoft,"Nov 18, 2020",0.56
Microsoft,"Aug 19, 2020",0.51
Microsoft,"May 20, 2020",0.51
Microsoft,"Feb 19, 2020",0.51
Microsoft,"Nov 20, 2019",0.51
Microsoft,"Aug 14, 2019",0.46
Microsoft,"May 15, 2019",0.46
Microsoft,"Feb 20, 2019",0.46
Microsoft,"Nov 14, 2018",0.46
Microsoft,"Aug 15, 2018",0.42
Microsoft,"May 16, 2018",0.42
Microsoft,"Feb 14, 2018",0.42
Microsoft,"Nov 15, 2017",0.42
Microsoft,"Aug 15, 2017",0.39
Microsoft,"May 16, 2017",0.39
Microsoft,"Feb 14, 2017",0.39
Microsoft,"Nov 15, 2016",0.39
Microsoft,"Aug 16, 2016",0.36
Microsoft,"May 17, 2016",0.36
Microsoft,"Feb 16, 2016",0.36
Microsoft,"Nov 17, 2015",0.36
Microsoft,"Aug 18, 2015",0.31
Microsoft,"May 19, 2015",0.31
Microsoft,"Feb 17, 2015",0.31
Microsoft,"Nov 18, 2014",0.31
Microsoft,"Aug 19, 2014",0.28
Microsoft,"May 13, 2014",0.28
Microsoft,"Feb 18, 2014",0.28
Microsoft,"Nov 19, 2013",0.28
Microsoft,"Aug 13, 2013",0.23
